TF,TCGA_E2_A10E_01A_21R_A10J_07,TCGA_D8_A1JB_01A_11R_A13Q_07,TCGA_AR_A5QN_01A_12R_A28M_07,TCGA_LL_A50Y_01A_11R_A266_07,TCGA_B6_A0I5_01A_11R_A034_07,TCGA_D8_A141_01A_11R_A115_07,TCGA_E2_A14Q_01A_11R_A12D_07,TCGA_B6_A0I8_01A_11R_A034_07,TCGA_AC_A3HN_01A_11R_A213_07,TCGA_A2_A04V_01A_21R_A034_07,TCGA_A2_A1FW_01A_11R_A13Q_07,TCGA_C8_A12U_01A_11R_A115_07,TCGA_EW_A1PC_01B_11R_A21T_07,TCGA_5T_A9QA_01A_11R_A41B_07,TCGA_AN_A0AJ_01A_11R_A00Z_07,TCGA_A2_A04R_01A_41R_A109_07,TCGA_AR_A0TV_01A_21R_A084_07,TCGA_A8_A09R_01A_11R_A00Z_07,TCGA_E2_A1L7_01A_11R_A144_07,TCGA_BH_A42T_01A_11R_A24H_07
MECOM,-48.59636583249217,520.08541641953,-602.0096422361378,720.733224788564,-308.8918899873808,-44.3485230068712,-649.5710876411483,-763.7179102790348,-408.8923740893278,-605.4315139377557,-1166.1714017100826,-318.24651816370596,-1020.2566558072481,-504.0302069260323,-537.1558881769348,-724.5801488994096,-898.4943692458298,-376.2462673090744,-731.087243882038,-295.91037641802797
MEF2A,1817.2375351712324,1982.3596061974222,1608.5760444907537,2490.528775378103,1790.62549484749,1884.2730848714693,1566.159174335105,1547.5614775537372,1673.422519434318,1569.899742691757,757.7543512824519,1920.0504757549531,1174.510801134214,1380.9304613069069,1595.5788412268153,1586.4923374721009,1451.9680617300235,1714.5867206392072,1545.1910008622892,1595.5955175214906
MEF2C,1561.1726046735375,1784.301713544857,1302.6602701196255,2415.724297442555,1516.3151505087433,1584.1785137455333,1285.0567841924963,1256.1427507268495,1360.6328724928755,1318.7251284467138,379.580086044926,1493.4136180225669,895.1353715933102,1227.9855558012873,1338.3927402863633,1299.91437460626,1231.616989807845,1414.3539316401138,1294.956626582849,1316.7156105520446
MEF2D,512.0414728287936,862.9276906573814,285.1555394827335,1315.4309083402177,379.62354300231567,576.0297625705113,210.62439730702604,137.71355714239164,348.5674688829906,242.7008772644537,-369.8219672290478,337.0256318757237,-105.98278758314709,164.90996461442404,263.18393017951377,234.93101742729894,90.24966521760486,378.6518655348703,183.65354304075316,359.8497841036989
MEIS3,-72.88400365658572,105.24787289597735,-172.50992531585956,380.16099015669505,-117.66729794362375,-147.04042722174904,-287.13907375608426,-350.82229097368383,121.50415126702777,-240.68081138317663,-1460.986824222952,60.82412960987702,-630.2200244337589,-275.2386439944254,-112.26960287999931,-311.68724434366663,-346.4316986756699,153.06915177773055,-353.68224859039015,-368.31978868997555
MEOX1,-1615.2309765277148,-1020.6009005497839,-2133.269014668477,-1040.7560135353287,-1947.4683086703947,-1841.676563026459,-2147.6166766855386,-2271.321087887384,-2107.1252815099488,-2100.9198375865562,-2071.953937486245,-1931.1017135882687,-2340.720549006649,-1721.2077441712895,-2003.5644038016694,-2232.5401186094778,-2320.1823193122877,-1842.7579260467576,-2222.42129183812,-1635.7042696772457
MEOX2,-1447.6970320961059,-716.1913960847132,-1959.3611596502687,-737.341994512266,-1794.5564417209625,-1661.90018884455,-2003.9491415353648,-2145.5599596777784,-1990.970344408657,-1963.8023892986569,-1902.8841240979366,-1753.1483707965535,-2277.358061871047,-1675.0802963390727,-1864.3929466223412,-2123.4168364487577,-2181.143856363046,-1695.167508266124,-2122.0659888572627,-1473.1825311788095
MLX,-1809.6984994073684,-1583.5212611580912,-1994.033413073429,-1601.7883089207826,-1915.5607872289875,-1870.5738363360767,-1912.6272946914642,-1967.4658481425417,-1940.9463258034448,-1891.5277646512454,-2439.307256793768,-1998.0495623163342,-2019.4642124245129,-1673.348571960848,-1840.8824184826417,-1984.575240157334,-1756.2725994733962,-1916.087507354301,-1982.2031879822391,-1627.7635069340406
MLXIPL,-1656.668948335402,-1482.8217600014045,-1834.178617459675,-1588.748814839398,-1792.5774577766895,-1731.3193589562525,-1765.0141206549279,-1820.412223191992,-1816.3720306383354,-1744.6450566931894,-2382.2910533952468,-1878.7023412994863,-1781.3877523759816,-1476.561398158103,-1724.929199346933,-1760.0225145187492,-1619.6453719238434,-1803.4554737571032,-1831.8646810121272,-1372.9532058131804
MNT,-927.9960478203953,-764.975899747993,-893.8668382920387,-1261.5378684241691,-927.7666621302855,-921.7145715714065,-825.4655553256664,-839.573668579571,-919.8371302717434,-753.2760613791284,-608.8041395823204,-1095.6094195740357,-526.4700515914161,-500.60527471202084,-857.3188798687469,-729.5110351756365,-685.5636392300019,-929.6169133664622,-947.2527165895676,-370.1988523029554
