TF,TCGA_E2_A10E_01A_21R_A10J_07,TCGA_D8_A1JB_01A_11R_A13Q_07,TCGA_AR_A5QN_01A_12R_A28M_07,TCGA_LL_A50Y_01A_11R_A266_07,TCGA_B6_A0I5_01A_11R_A034_07,TCGA_D8_A141_01A_11R_A115_07,TCGA_E2_A14Q_01A_11R_A12D_07,TCGA_B6_A0I8_01A_11R_A034_07,TCGA_AC_A3HN_01A_11R_A213_07,TCGA_A2_A04V_01A_21R_A034_07,TCGA_A2_A1FW_01A_11R_A13Q_07,TCGA_C8_A12U_01A_11R_A115_07,TCGA_EW_A1PC_01B_11R_A21T_07,TCGA_5T_A9QA_01A_11R_A41B_07,TCGA_AN_A0AJ_01A_11R_A00Z_07,TCGA_A2_A04R_01A_41R_A109_07,TCGA_AR_A0TV_01A_21R_A084_07,TCGA_A8_A09R_01A_11R_A00Z_07,TCGA_E2_A1L7_01A_11R_A144_07,TCGA_BH_A42T_01A_11R_A24H_07
REST,-2612.4577501891645,-2387.932075311839,-2670.1046337289085,-2585.8699836129954,-2714.7147734348387,-2681.0556511490604,-2749.5470123289565,-2757.7321140956847,-2707.691014509531,-2694.880429381055,-2277.5195377645955,-2788.182138671873,-2817.507213930814,-2663.929782050037,-2664.4999799236944,-2723.5247465503876,-2838.3465320061478,-2750.719456534322,-2761.242144475349,-2401.969862226806
RFX2,-1618.0682041867728,-1364.937263095355,-1782.157883802269,-1573.3579175177517,-1732.862320462037,-1649.8030947550467,-1789.8156319170523,-1776.7262390379533,-1768.6030582102849,-1673.7382902897698,-1597.9725605937247,-1798.6427628926583,-1725.9499834486103,-1408.1747302459767,-1710.3975569299666,-1705.1353744801513,-1636.9772570902492,-1772.1840478417512,-1745.0112141556938,-1574.6174194567388
RFX3,-1637.8037973562602,-1207.3452668814023,-1912.443805895851,-1712.8529960800572,-1786.600438484235,-1696.7201773462036,-1903.6179707549404,-1871.9817324094904,-1888.5358733004284,-1773.756063051779,-1126.0730509337366,-2025.769277877179,-1740.5235193456024,-1446.8345524121187,-1880.3652426662106,-1827.588073977784,-1711.1487455173597,-1901.7401990449057,-1811.1573072554884,-1662.540689994362
RFX4,-2039.4228421118378,-1728.865706571362,-2193.2974374216324,-1934.7930793341409,-2135.867818368714,-2081.32017645656,-2271.1335674245074,-2180.6848866187197,-2164.573939417521,-2167.681073194198,-2095.3700569198268,-2233.3094006155807,-2124.7567108066683,-2138.2436593417356,-2146.068972464921,-2264.350397706298,-2028.223623599532,-2225.731615125826,-2284.4697973352545,-1977.0425397572064
RHOXF1,-1228.4520230743306,-816.1019717958766,-1494.3849090155975,-862.3108120653778,-1245.3883226090607,-1296.9861385530628,-1536.7155621715792,-1644.8039036026632,-1457.8824373503458,-1497.1288800045688,-1748.5080228204201,-1361.5016911316966,-1661.4260963437391,-1269.0182156946007,-1435.9441040757467,-1580.5224902077175,-1623.6416006883187,-1389.9353351572383,-1610.5390492654278,-1202.2889789300054
RORA,151.2320432628541,422.8131843332566,-232.47089494081916,357.83073946350333,31.046177325366866,237.94229496369675,-144.93221459434065,-146.30062081605902,-24.627845784765988,-122.72205935317326,-441.14510654807987,-51.00484101884772,-305.1234051951135,-143.58148533785862,-96.09364350839698,-106.23053317671759,-314.67320153928364,-20.633799574054343,-56.355992370100935,2.6392089409104615
RUNX3,-125.24297820685675,186.9769975944384,-331.59327291444396,443.2018536015034,-281.1977197391947,197.98088991968203,-375.5915916207267,-448.034617246308,-73.65191076709283,-380.8844933577094,-410.9140980774736,-9.887504997295865,-613.1940221700673,-500.0174611226132,-333.15313690176504,-340.81657571444526,-491.6414344684914,-39.455481661703686,-490.7334200161723,-345.70670056039023
SIX4,-260.11210173251396,161.58116815739731,-617.937934987023,582.9908089836061,-529.9323741199103,-397.2057476617523,-744.6611444399384,-823.1869981191513,-542.2483547179305,-708.8297514514359,-1425.3728285805887,-510.94395645242923,-1022.0645380354958,-670.2706196649101,-739.7965054379755,-781.6779351494974,-967.8755352264557,-369.1416297363185,-837.1807340942065,-523.5610981954162
SMAD5,-2387.7903632426164,-2173.1473956414384,-2550.7966620815914,-2316.7986733539606,-2477.686404164103,-2455.4166273156775,-2510.6797410949516,-2556.5269887131635,-2531.3092586468824,-2496.8425913676188,-2279.204359159221,-2522.5207452010895,-2460.024284752045,-2353.1804532365436,-2350.463673198588,-2499.742738484242,-2545.287583325972,-2516.598131369092,-2617.438565254756,-2232.0065140131196
SNAI2,1617.3980758888695,1269.8811481358896,1989.304959398742,544.81806581183,1564.7714061277825,1863.5586848313299,1973.2135726992428,2016.2760198169804,1992.8338169250558,1902.9147986239732,2156.3240563614413,2100.9602138781643,1998.0106366940054,1664.4324213732164,1784.5750297299303,2005.8209143596052,2034.8305975768099,1945.4380899750054,2005.0621078431552,1523.5752090638143
SOX10,679.3666401491506,1075.6198280382293,466.44900786930594,1737.3181069998343,579.372750103816,731.1298044304677,334.4281142307265,288.16259366310203,566.9448842691567,315.0176883552408,-1028.0472368331716,1053.135294674821,-18.850878637209764,278.53478104351643,401.4285825254347,250.83956630047086,-45.02640841837918,518.8175407964228,484.8730886632873,493.7454212691293
SOX6,474.5993821292719,805.1242998587742,322.6325663696135,1209.6970607520354,354.7583300384924,498.9086474767398,146.5458322773472,70.70343659286881,308.3570722475892,134.710413646072,-641.5582206036681,649.3060785078433,-167.43613491013892,112.24014774968636,204.89987525413875,187.54347894386234,-246.4890117642486,246.9623712732978,190.7996833688104,309.73965350818276
SOX8,-581.4896571659804,137.0318018358224,-922.8104388235488,616.1570635608011,-779.3594524836242,-677.4582286619359,-1097.245665814515,-1267.3541092684227,-1020.5525538945078,-1049.92489475828,-1557.1685277711815,-791.0582712207556,-1469.1105826079497,-887.8746150702858,-977.4077826290523,-1142.832264749272,-1334.406842949635,-852.3063419404833,-1093.4739969493282,-737.5511790018373
SP4,6049.9758313856855,5049.742965365591,6702.522251930344,5393.068655325079,6472.846557468317,6261.233517581662,6704.64214881842,6766.450254076993,6656.205159688889,6632.478263681116,5838.454990284201,7030.462636773961,6933.927838927853,6186.574319435462,6382.233150307518,6722.042491521024,6799.273288889407,6710.959578617009,6941.237859348549,5678.493793719669
SREBF1,1455.5207702526698,1194.3662364160389,1783.087607301493,789.1965660382641,1589.678469989938,1551.9070532884998,1801.508990873274,1879.7567520461077,1834.7745484184118,1807.7181001206604,1718.2831519823308,1650.6469793597305,1913.9236460757768,1622.553278015849,1746.0645388809423,1866.666740716822,1909.3288203494421,1659.8943921169894,1741.831742463066,1540.3429200307676
SRF,-2337.127055773705,-1873.0232836095195,-2441.32365004911,-2335.6066246616015,-2549.941090100615,-2287.0400438763118,-2588.3413645588425,-2629.2999321865545,-2400.3677870391707,-2591.1725187306674,-2346.142824197463,-2339.1122121303456,-2713.7270209553612,-2596.9802080005416,-2572.3420307836523,-2664.5958116629768,-2654.6268345685844,-2458.7644098989576,-2684.4603855470878,-2308.8813243231975
STAT1,750.9325448369566,951.1958252959408,504.61506254097293,1409.5178830122277,606.5662453811747,913.7529571206122,454.8896876896107,371.3875324435866,725.4118995508778,459.5438151195108,-10.639745825426452,829.0849342969819,27.52831242222044,248.76096184475105,502.1309907050476,408.8771686672801,186.63347204505817,812.3535601102578,378.9688162117024,284.9034368120136
TBP,-1179.987572996923,-425.73238673825733,-1532.6072417741148,-176.01584345418811,-1325.447575743756,-1274.7098292182347,-1606.8509816890344,-1682.9034205233102,-1562.6809664217833,-1556.6820139422261,-1699.634057219266,-1596.7738408129037,-1905.477851935537,-1219.525796586801,-1489.7677972156882,-1684.5722718063919,-1732.9643938412692,-1412.840259723261,-1592.3932144690807,-1042.0237820435518
TBX15,-817.8292172694461,-683.4378932229466,-804.527142630396,-808.6315528430338,-884.398340388458,-714.3889683838308,-940.6687312655126,-960.6664926746259,-650.3827929897656,-860.5920767362364,-884.1608845236091,-573.5064859104958,-1174.5953914630297,-1046.9464198577064,-867.9086605149319,-874.0594549751972,-964.1572692267923,-837.0315321133947,-1035.6501764714678,-640.7998557272655
TBX18,1352.0506083261184,884.9452144048295,1388.1439047430842,1106.586623188998,1404.2572494202248,1209.1447131942232,1351.2743508636706,1341.875741704568,1396.0082633667819,1332.8854299660234,1963.1267405103918,1472.3342040401099,1073.996834712631,725.8004040212062,1394.1345105525259,1363.5004750025203,1259.6614619641116,1353.751485514089,1418.777156436701,1378.0880964524429
TBX21,-407.2511722242898,-246.6861916701829,-576.8680434022322,-321.79378609233225,-529.7740529299743,-295.2089174414434,-582.2688710423416,-649.428789924795,-370.0449157111881,-560.3361396707717,-421.57122108896107,-281.36881672413926,-628.2967518908029,-747.3430273408715,-539.4842881660124,-513.7666053024686,-662.30848670575,-470.7584350745974,-651.6185509236716,-554.1082917629233
TBX5,-161.80189640910245,-226.4125895380695,-50.4942789910178,-256.50944066691414,-263.08140208566795,-131.79967656633767,-193.19460544737018,-212.2896231883478,89.05409193653492,-167.47482484699958,36.05041784644421,78.31551896908341,-508.1963702808886,-359.25565605343667,-130.8363317436001,-146.8866269499924,-167.15072379212972,-182.68873520235394,-464.86861838879855,-25.176715379156008
TCF21,-2131.331175825073,-1615.2150220215642,-2319.397405009758,-1380.5783248624823,-2316.481938892001,-2127.592986817304,-2359.985171651769,-2447.3996693860176,-2324.63354159718,-2307.1753257748533,-2161.0804544120106,-2360.0369130067184,-2433.349051874531,-2043.2683266303027,-2283.242500692954,-2393.3047801002945,-2352.1752534206,-2162.301662900622,-2346.4651546397804,-1996.6068898599424
TCF3,2757.155887951959,2060.2815254155084,3259.4969703172296,1529.7002393815303,2828.5933668929906,3111.0653001885353,3280.0811026516603,3353.3601743232666,3386.5294272501096,3211.6834903948143,2868.53524089584,3498.206756977799,3454.203018399288,2915.901591238629,3033.9494879880644,3372.3168669385436,3381.8495720543806,3145.8258763235144,3297.7677568719346,2530.6333124153953
TCF7,-342.6850706938035,395.6823876901782,-794.6016870417442,586.659282096814,-504.15961204969955,-250.46837066737749,-815.4252845401458,-919.568088022693,-623.94378637604,-751.2391302738396,-1219.0331693334836,-189.77832213744796,-1114.7602046666261,-652.7416574442701,-680.7797365740715,-882.8993824928182,-1039.6594106135726,-496.2979540125748,-833.1611208706981,-420.29987841777495
TCFL5,1754.8951487907163,1234.3230971949652,2077.3149546012783,1988.983635109782,2079.277006563992,1649.8818755867885,2023.2613838188508,1976.7689092699568,1928.654452761667,1996.6827786301717,1539.5810720344057,1814.1714632565622,2094.94113908466,2016.3600695619668,1920.8544721521982,2010.3070530286566,2065.188069245312,2024.851637998516,2246.339243375727,1726.8202367173787
TEAD2,-143.64169753777082,122.5931766062202,-184.41763944196396,144.66134803180145,-213.1511379259063,135.09200993588644,-306.4087977447345,-381.957807775794,49.849739291543884,-372.6194968129874,-523.2614667535622,363.25677246941063,-678.9097269149437,-612.732907540707,-251.9837244320197,-388.1704239145453,-608.0991607661283,-111.97370999536307,-350.349905764828,-310.582540413732
TEAD3,-711.2672927462874,-310.0871794072067,-856.3589566594266,-199.67672996458626,-793.6323286585391,-669.2161982925111,-957.8010220813931,-1082.553764740035,-701.2393763925822,-1018.1601009993424,-1614.646216813696,-296.38456432719437,-1231.91967237226,-938.7988522503089,-907.154243876571,-1054.8830751663409,-1202.2511183624897,-840.7004156728466,-1040.1677527477639,-856.614459860619
TFAP2B,5340.184198866552,4519.626151122319,5847.51284737739,5119.886266552651,5643.2757052317675,5612.109574764581,5816.988747265436,5826.54940361186,5871.24357876516,5741.07304146099,5001.841160757768,6033.154981912249,5845.031280567433,5316.973531313782,5478.758766709416,5788.611425621711,5818.192234185853,5858.42725012112,6042.346915800394,4937.796273672947
TFAP2C,5949.704259935886,5015.539632092814,6505.748484954388,5653.4238689441545,6264.889687252552,6220.199631559405,6521.557678658474,6572.542510258161,6500.680133426554,6428.80392795111,5732.944578322946,6744.233236903364,6566.426611448292,5961.019604947631,6198.458680556321,6477.75927226713,6598.244203804602,6527.772842028511,6743.399635472058,5560.4227853381835
TFAP2E,2872.0961011547015,2200.8105898680906,3374.242346036354,2671.4197619015117,3190.330380074977,3206.035412214882,3277.8718671924044,3269.3763315610036,3417.846211556522,3251.843820553323,2742.6958935583257,3492.648331277805,3381.515552367896,2890.660161477347,2947.3847916091404,3294.3229731715733,3283.6479085506962,3277.176811548934,3484.1475536808753,2634.4701217926554
TFAP4,79.65118409816624,183.06110460271927,-39.37537609617841,392.3107765175867,58.36020879414548,261.59561579002104,-79.06037731042224,-123.7624410079869,267.8277050437521,-44.33703663438859,-672.6551672199724,304.0552896032572,-554.522626144785,-405.7979398940278,0.5990855928625352,-81.08552236734938,-129.80542056903354,75.9521071784549,-39.19771145354223,81.52588629699254
TFCP2L1,2449.1808947915133,1929.7514071851313,2792.6770855392197,1296.3198161075968,2483.57894952892,2656.7065184114604,2743.260788247134,2832.9076308389635,2936.286360256653,2669.8698086321133,2335.5292549259343,3114.3563852649727,2793.8739900656074,2320.840784505861,2484.94536927393,2769.684165306282,2756.082058364302,2760.3608106476263,2831.3569594022265,2121.082448982436
TFE3,-1437.9991441507227,-1269.5267493280226,-1638.251361103815,-1439.4231155868704,-1571.6584510797884,-1506.3507038035625,-1497.2599325633807,-1584.3062515943484,-1598.0902714442366,-1487.426774591247,-1971.877090353485,-1686.863670180781,-1477.685425874445,-1031.3398336983118,-1484.441399462314,-1513.8543913013484,-1181.8519282884222,-1527.7181174988327,-1691.3244735722014,-1114.0949522401972
TFEB,-1097.029389301581,-1020.6207317693908,-1269.68297858192,-1012.7801527754484,-1182.7984051046458,-1195.488778097968,-1182.433148236831,-1257.4183650375455,-1230.356310952291,-1152.302121478477,-1603.074463789199,-1242.015416239808,-1195.930495723732,-1038.6621497431895,-1150.8484401753549,-1126.7941586247648,-974.301985945064,-1147.0457362226307,-1302.076585571114,-850.7015136258913
TFEC,-624.9511031253755,-567.0117650939154,-677.4305461862372,-879.8835598814691,-628.3329641004149,-682.1688459230685,-584.1410096848957,-585.6186061763475,-663.6576273636992,-518.8982641561621,-722.5291936343241,-764.8616607469154,-438.68830702760135,-253.91818808597878,-581.5444921272755,-566.8064846923755,-167.94276680207597,-656.860078078054,-677.1401458536687,-178.648256769457
TGIF2,-1080.395529644582,-688.2432574808857,-1083.8383495776543,-1112.7922336926308,-1039.8844299973905,-789.964844173511,-1183.6036365315624,-1204.5391494584642,-793.6822310031098,-1158.1194307727333,-1210.909340259728,-1084.9050278955258,-1372.7528003766488,-1175.8481544527372,-1112.2778392331122,-1136.861306676708,-1198.0074733327076,-1082.7527977317663,-1198.4028103004387,-1049.4705745432036
TLX2,-1838.0650510547139,-1164.9069964907812,-2192.1537533383857,-1152.3602034271519,-2015.3872464685826,-1968.4538886895505,-2314.599357524313,-2457.5102746916023,-2266.8592729241764,-2274.522277440429,-2199.4671975396955,-2056.91206219544,-2493.4489171324976,-2088.5522943900946,-2177.7317612634356,-2374.546249167156,-2462.5211444296706,-2084.4353181851293,-2420.126513896262,-1810.632436035716
TP63,-2401.727998693655,-2004.9929801663259,-2579.1802818402916,-1977.3547820899762,-2480.359228298278,-2506.0327533029545,-2632.615218806786,-2707.8447304100005,-2622.138088343217,-2585.5040550696663,-2417.434532009244,-2707.8521430943592,-2614.4704116377393,-2432.781273968437,-2537.59248058014,-2637.8620195891867,-2642.5198311799886,-2656.204740495717,-2773.461717494879,-2203.0439374729513
TP73,-1728.1296020795367,-1458.8758463742554,-1891.7653899398626,-1603.658952750682,-1882.8686177170407,-1811.5054728082123,-1966.8252916155204,-1933.185129033758,-1894.908915626586,-1871.524950256372,-1500.3437292706094,-2065.4952578226944,-1953.0620892692177,-1735.7184128090678,-1752.4792809989176,-1957.3144593911409,-1826.7083752305036,-1941.013712512393,-2042.5712356969307,-1622.6070078813993
TRPS1,-567.6454180427792,127.65416973001423,-988.5203194981366,195.00108711071306,-701.2833546773014,-583.3987239005505,-1040.660070686012,-1193.1721223363709,-843.0790331977735,-1019.1174404785211,-1235.8773129929637,-771.6251806209027,-1299.8925517167932,-956.4274363916518,-980.138927338486,-1090.6405443781466,-1231.4765189597988,-833.4985219230822,-1105.5194727788733,-626.9717589534343
USF2,-1319.6728321569185,-1062.2351998329145,-1499.2843174085112,-1423.1375403245272,-1480.56507253034,-1367.207674663267,-1349.2142670186531,-1375.3227931277568,-1486.2654358753896,-1337.6838389187312,-1588.3275338223898,-1667.3451020467096,-1177.8596597618694,-847.7161201343466,-1337.7117947464194,-1407.3087465485576,-1022.1324572084987,-1423.8258709585175,-1503.9515110799703,-1098.5685133413187
VAX2,-1925.7096907055454,-1235.530190120551,-2353.1097741290423,-1255.8909499353492,-2215.3204892901435,-2105.8863479005718,-2392.199708547329,-2521.0508059650547,-2419.447487071104,-2375.936083200314,-2331.6723905961703,-2184.007138199348,-2616.1872114736348,-2069.757388330438,-2238.4208173762863,-2484.3323483681506,-2572.111805008291,-2194.598544748357,-2503.06555285418,-1875.6723019364554
VSX1,-1662.6614790624637,-900.4408303054854,-2152.1738699703274,-621.100888576798,-1892.7849922521518,-1795.9580656182995,-2171.6940151257604,-2334.470728431507,-2179.837252802266,-2116.6282552002403,-2145.6548639355865,-1920.794964662588,-2407.9819948367935,-1817.5497737517308,-2028.96056900783,-2264.3124567584914,-2336.4499146589924,-1904.644560258482,-2221.2005838922487,-1633.8217642191569
VSX2,-1604.4842984292086,-845.5900099324899,-2093.2598182724614,-555.6782085155094,-1832.9746852408582,-1735.814977656054,-2113.490342858207,-2275.857003120479,-2119.7439407151146,-2058.676693279221,-2104.7330583023745,-1858.8202938872303,-2353.3013266481767,-1765.4200031508112,-1972.8188479677956,-2206.233168315475,-2279.7013649984333,-1844.1526636135857,-2160.800827895805,-1581.92610303009
XBP1,-1661.1756317140416,-1385.881581239526,-1723.7690081605488,-1638.522701182774,-1788.6646781971501,-1634.355109095596,-1781.5009271661015,-1783.1941433198065,-1717.2198826020363,-1724.7652339015876,-1967.7255087056399,-1657.0746039478363,-1704.2826740382184,-1469.970709572141,-1690.1669653091446,-1795.576523306954,-1639.256756023896,-1764.8758760588826,-1791.4544462301849,-1763.3677558332631
ZBTB32,-1231.3952828390597,-615.1456776948712,-1690.2383496502591,-534.7868993770197,-1341.771050331556,-1391.4272180075764,-1692.8992024455506,-1788.7928038366972,-1681.9524462513452,-1617.2242577301895,-1701.9920182064527,-1761.9118408186887,-1861.8186164581202,-1251.6584977888065,-1558.9104130746352,-1727.666262666075,-1764.357407604174,-1505.3793636229016,-1716.2596533512442,-1164.5934112343416
ZFX,4866.896189440539,3788.275021866264,5477.795181726211,3743.221711620934,5166.099200143948,5075.540389427969,5508.182146318258,5639.2422274231,5487.536468695683,5422.296701387235,4818.573307676822,5574.268315886218,5606.29515661785,5052.087456901513,5086.163407178504,5506.115768757537,5662.172652652535,5281.327692988217,5612.7659732010625,4510.096470032222
ZIC2,2993.880648793539,2582.238422190639,3405.9756457933036,2001.892172761572,3105.208888955268,3294.6118737928655,3365.5400468569437,3388.6907859161456,3476.6793369742422,3285.774761469404,3052.212466581939,3680.8415912998075,3394.526747423158,3099.2208887165566,3032.952382829431,3359.0819466279363,3290.300567984359,3297.742070033799,3524.4187103827176,2766.0527093999
ZKSCAN1,-1181.373717529141,-909.2722881413692,-1450.918564931571,-995.1754404586222,-1277.385182763167,-1301.439518907003,-1473.2630715740756,-1505.1926742481032,-1420.930166109916,-1412.8945398664132,-1372.7487195475812,-1627.8285034265095,-1552.8227849219606,-1097.6971876753353,-1362.851493451861,-1478.6783021990427,-1511.1020456254337,-1409.429664448401,-1534.9691817897162,-1216.4493028554064
ZNF263,5722.219175421341,4998.512162861848,6139.694640414677,5299.420042433444,5912.259037209321,5926.518532685844,6125.043246246643,6173.817187896782,6237.485170037023,6045.492361732259,5342.973198059486,6526.446579162947,6113.4801224511675,5578.0605720448675,5809.237179449766,6133.2999324869925,6016.066210996635,6267.572247771704,6324.578608845803,5278.824234519234
ZNF324,1430.5333551463239,806.6367692219437,1533.1014740611852,1391.3556779982375,1687.6033518634965,1112.1796874970487,1447.9068517050005,1555.1502891976706,1455.3395663326708,1515.5515947087888,2334.6719377919694,1467.8146181780749,1249.5050449769053,420.45234154018175,1615.3761889231644,1553.8768621412885,1061.9990433698588,1512.1464819003368,1492.3404334506652,1168.7193410980371
ZNF343,2303.990042877495,1788.7754708268903,2656.476279283065,2301.6292809210763,2598.264803152907,2434.9627034988916,2700.8038503021294,2674.757374941161,2618.7934522264877,2638.3204551416393,2220.726781238386,2543.8172366843814,2753.637636106966,2483.9795303549477,2569.0858945458826,2669.973737425733,2708.7755147462717,2568.8113855615534,2837.606064585639,2231.746564189706
ZNF410,-2453.355428777353,-2000.998281589403,-2659.132008212431,-2157.441854000106,-2539.6222754428454,-2496.800473819799,-2686.4328999740706,-2706.6554745319627,-2658.7628066683133,-2625.3664156365353,-2534.1427729805646,-2693.514895769604,-2751.594939284569,-2490.951128456996,-2584.1056729314814,-2680.909034070359,-2732.41157677734,-2666.990872691353,-2755.5587107088418,-2277.145551310656
ZNF416,1868.893561639078,1598.9987736799642,2083.7500061686314,1313.963628840975,1811.9232306685683,2099.479887172197,2116.5349306271314,2144.126511362048,2190.0334358209284,2064.613469957347,2221.3902567883033,2299.5268264835922,1896.2494232798115,1816.9087730125846,1981.6208464368985,2074.848239881609,2143.4379986703707,2144.6977260094973,2189.539215957213,1699.787612191874
ZNF423,1258.1628879634045,749.5962675315922,1878.7813307937085,-31.89555614614253,1301.6573259442328,1744.6558250443588,1860.5720400225923,1942.2410023685936,2016.5759962243585,1774.6104035694595,1890.1570909388843,1957.2346266985414,1794.884739534227,1367.4695982524274,1557.4739066655295,1909.3743360950616,1936.5522708278781,1735.7447742876357,2004.6846224165624,1131.7770946844462
ZNF574,2867.03504593198,2471.2859010622424,3300.2035249847518,2012.8610681855143,3013.3172186784923,3103.7638301528236,3273.2529234870503,3264.8123606422814,3403.417638569365,3190.7538891683644,2903.1802964149065,3675.291525501669,3250.8511700333943,3009.90629597725,2993.075109362301,3229.219928984077,3260.194202421493,3271.985890478882,3341.237015421503,2633.317960468455
ZNF582,-2977.7204387549127,-2741.319403629718,-3165.538901791614,-2916.899290186891,-3104.4989743256288,-3025.039761821952,-3106.7864592953565,-3091.874976921887,-3127.9502311585643,-3132.9792544522797,-2791.221030882571,-3156.303751796459,-3203.1378368084706,-2921.3319376705235,-3025.970571155402,-3114.9648956103206,-3060.7282702199573,-3167.172650827744,-3139.6096301464577,-2817.3547805469484
ZNF684,-1650.4904097393319,-1368.114645159707,-1847.3428647608896,-1440.0785257599528,-1783.2836672692315,-1552.9205000903237,-1785.1179814645575,-1836.9346231167794,-1623.3916643402576,-1835.713485409331,-1699.2407400946638,-1548.9471462395854,-1833.656977567501,-1821.14102226172,-1786.2541735109992,-1871.5118437662018,-1845.5668336325368,-1754.5306073267607,-1912.7260974651151,-1625.414492161434
ZNF76,-42.37207977193288,-319.7694788623219,53.78737216242627,-434.8954291418633,104.79560767949498,92.11956771894648,329.9830987964143,308.31171598781253,130.5350302630817,263.8304323933016,1199.033667033354,-235.2682051820723,528.2005401523382,256.5771454478249,194.1980197939488,271.14527205498194,498.6299423251888,48.43025891715773,332.46710556926865,143.09849472733478
ZNF85,1.4067853076912047,308.5526855383748,-150.8054066060345,280.4270447567836,-219.06345150052823,187.9522258780181,-330.76091487401067,-411.3543968339411,-32.01459913110529,-358.2344881678655,-475.4380415171249,65.5873074328658,-697.2189955639892,-510.4846936923425,-287.0131699960213,-335.3285680092085,-498.8517542521822,-98.8611248064291,-502.87888162677683,-272.52308947200333
